Year,Timewindow,Connection,n_firms,firm_max,n_size_1,n_size_0,size_qant_2.5,size_quant_25,size_median,size_qant_75,size_quant_97.5,density,n_edges,av_deg,max_deg,clustering,av_assortativity,num_workers,n_inflow,av_inflow,max_inflow,inflow_median,inflow_qant_75,inflow_quant_97.5,n_outflow,av_outflow,max_outflow,outflow_median,outflow_qant_75,outflow_quant_97.5,n_flow,av_flow,max_flow,flow_median,flow_qant_75,flow_quant_97.5,flow>N
1988,5,uncon,29887.0,20337.0,505,714,0.10000000000000001,2.1000000000000001,5.7999999999999998,16.0,213.5,0.00013899865585073203,62077.0,4.154113828754977,661,0.03759014704921865,-0.011422401942884627,1115050.6116666666,20865.0,0.69812962157459768,602.39999999999998,0.20000000000000001,0.40000000000000002,3.7999999999999998,20865.0,0.69812962157459768,386.60000000000002,0.20000000000000001,0.40000000000000002,3.7999999999999998,20865.0,0.69812962157459768,307.19999999999999,0.20000000000000001,0.40000000000000002,3.7999999999999998,998
1988,5,con,25490.0,20337.0,369,528,0.10000000000000001,2.5333333333333332,6.9000000000000004,19.0,250.69374999999945,0.0001836406295373287,59657.0,4.680816006276971,661,0.04395671733464092,-0.023285005908814903,1094369.3283333334,20322.0,0.79725382502942332,602.39999999999998,0.20000000000000001,0.40000000000000002,4.4000000000000004,20322.0,0.79725382502942332,386.60000000000002,0.20000000000000001,0.40000000000000002,4.4000000000000004,20322.0,0.79725382502942332,307.19999999999999,0.20000000000000001,0.40000000000000002,4.4000000000000004,1590
1989,1,uncon,14159.0,21214.0,140,106,0.40000000000000002,3.3999999999999999,10.0,30.0,379.09999999999854,0.00020646191472564214,20694.0,2.9230877886856415,257,0.01758476370868244,0.014380177085591759,904372.60000000009,29618.0,2.0918143936718696,992.0,1.0,1.0,10.0,29618.0,2.0918143936718696,754.0,1.0,1.0,11.0,29618.0,2.0918143936718696,507.0,0.5,1.0,11.5,634
1989,1,con,10525.0,21214.0,80,59,0.5,4.5,13.0,42.0,481.79999999999927,0.0003378681552221774,18712.0,3.5557244655581948,257,0.023656310627195705,-0.019667923515517192,866469.60000000009,27455.0,2.6085510688836107,992.0,1.0,2.0,14.899999999999636,27455.0,2.6085510688836107,754.0,1.0,2.0,15.0,27455.0,2.6085510688836107,507.0,0.5,1.5,15.5,927
1989,2,uncon,19212.0,20598.5,277,299,0.20000000000000001,2.7999999999999998,7.7999999999999998,23.0,295.0,0.00016560017660261766,30560.0,3.1813449927128876,375,0.02128965086118317,0.0047059506363838479,975548.39999999991,24100.5,1.2544503435352905,916.0,0.5,0.5,6.0,24100.5,1.2544503435352905,533.5,0.5,0.5,6.0,24100.5,1.2544503435352905,466.5,0.25,0.75,6.75,650
1989,2,con,14909.0,20598.5,174,198,0.29999999999999999,3.5,10.0,30.0,389.79999999999927,0.00025362703486744544,28186.0,3.781071835803877,375,0.027434219085455118,-0.019542544734725907,941211.25,22756.5,1.5263599168287612,916.0,0.5,1.0,8.0,22756.5,1.5263599168287612,533.5,0.5,1.0,8.1499999999996362,22756.5,1.5263599168287612,466.5,0.5,0.75,9.0,1071
1989,3,uncon,22392.0,20091.0,361,484,0.10000000000000001,2.3999999999999999,6.7999999999999998,20.0,268.74166666666622,0.0001465078516448921,36728.0,3.2804573061807787,434,0.02508107174770276,0.0038640785284273006,1019455.0833333335,20102.0,0.89773133261879245,647.33333333333337,0.33333333333333331,0.66666666666666663,4.666666666666667,20102.0,0.89773133261879245,361.0,0.33333333333333331,0.33333333333333331,4.666666666666667,20102.0,0.89773133261879245,330.0,0.16666666666666666,0.5,4.833333333333333,713
1989,3,con,17633.0,20091.0,234,325,0.20000000000000001,3.0,8.6999999999999993,26.066666666666666,344.13333333333384,0.00021930810928980196,34092.0,3.866840582997788,434,0.03155723313717999,-0.017128723748398186,987448.8666666667,19113.666666666664,1.0839713416132628,647.33333333333337,0.33333333333333331,0.66666666666666663,5.666666666666667,19113.666666666668,1.083971341613263,361.0,0.33333333333333331,0.66666666666666663,6.0,19113.666666666668,1.083971341613263,330.0,0.33333333333333331,0.66666666666666663,6.166666666666667,1216
1989,4,uncon,25511.0,19699.5,436,684,0.0,2.0499999999999998,6.0,18.0,236.08333333333334,0.00013008277795202016,42328.0,3.3184116655560345,495,0.02646523895282351,0.0052532679991462395,1033448.7083333334,17944.5,0.70340245384344013,496.75,0.25,0.5,3.75,17944.5,0.70340245384344013,295.75,0.25,0.5,3.75,17944.5,0.70340245384344013,253.75,0.125,0.375,3.875,945
1989,4,con,20184.0,19699.5,282,456,0.10000000000000001,2.7000000000000002,7.7999999999999998,23.0,303.42499999999927,0.00019327218573909213,39367.0,3.9008125247720966,495,0.03299584048051993,-0.013994577119227195,1001695.1833333333,17102.75,0.84734195402298851,496.75,0.25,0.5,4.5,17102.75,0.84734195402298851,295.75,0.25,0.5,4.75,17102.75,0.84734195402298851,253.75,0.25,0.5,4.875,1368
